id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
TWRQb3A4NXBs,0,0,,0,0,mdpop85pl,MdPop85pl,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,164453,0,,0,0,False,0,0,0,,,,-164453,0,True,0,0
TWRQb3BfMw==,0,0,,0,0,mdpop_3,MdPop_3,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,8443713,0,,0,0,False,0,0,0,,,,-8443713,0,True,0,0
TVBvcDB0NQ==,0,0,,0,0,mpop0t5,MPop0t5,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,282195,189,0,0.033,0,True,0,0,0,,,,-282195,189,True,-3.3000000000000003,0,True
TVBvcDEwdDE0,0,0,,0,0,mpop10t14,MPop10t14,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,237611,2370,0.6,0.028,0,True,0,0,0,,,,-237611,2370,True,-2.8000000000000003,0,True
TVBvcDE1dDE5,0,0,,0,0,mpop15t19,MPop15t19,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,228974,203,0.1,0.027,0,True,0,0,0,,,,-228974,203,True,-2.7,0,True
TVBvcDIwdDI0,0,0,,0,0,mpop20t24,MPop20t24,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,277492,3174,0.7,0.033,0,True,0,0,0,,,,-277492,3174,True,-3.3000000000000003,0,True
TVBvcDI1dDI5,0,0,,0,0,mpop25t29,MPop25t29,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,380518,179,0,0.045,0,True,0,0,0,,,,-380518,179,True,-4.5,0,True
TVBvcDMwdDM0,0,0,,0,0,mpop30t34,MPop30t34,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,351613,226,0,0.042,0,True,0,0,0,,,,-351613,226,True,-4.2,0,True
TVBvcDM1dDM5,0,0,,0,0,mpop35t39,MPop35t39,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,295382,3094,0.6,0.035,0,True,0,0,0,,,,-295382,3094,True,-3.5000000000000004,0,True
TVBvcDQwdDQ0,0,0,,0,0,mpop40t44,MPop40t44,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,265474,3036,0.7,0.031,0,True,0,0,0,,,,-265474,3036,True,-3.1,0,True
TVBvcDQ1dDQ5,0,0,,0,0,mpop45t49,MPop45t49,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,260855,252,0.1,0.031,0,True,0,0,0,,,,-260855,252,True,-3.1,0,True
TVBvcDUwdDU0,0,0,,0,0,mpop50t54,MPop50t54,Pop,poppyramid_only,demographic,False,0,0,,0,0,False,259245,174,0,0.031,0,True,0,0,0,,,,-259245,174,True,-3.1,0,True
